Question,Answer,Furigana,Meaning,Example,Translation
"諄い","くどい","くど","repetitious, long-winded","くどいよ君の質問は、もううるさい。","Stop bugging me with your annoying questions!"
"惚ける","ぼける","ぼ","to grow senile, to be childish with age","最近、物忘れが激しくて。少しボケてきたのかな？","Could I be going soft in the head? I forget things so easily these days."
"宣誓書","せんせいしょ","せん.せい.しょ","(written) oath","",""
"遠慮","えんりょ","えん.りょ","reserve, constraint","ここでのおタバコはご遠慮願います。","Please refrain from smoking here."
"鮮やか","あざやか","あざ","vivid, bright","月は鮮やかに輝いていた。","The moon was shining brightly."
"気の所為","きのせい","き..せ.い","(just) one's imagination","気のせいだよ。","It's just your imagination."
"冊","さつ","さつ","counter for books, volume","ポール、8冊までなら借りられるからね。","Paul, we can borrow up to 8 books."
"散々","さんざん","さん.ざん","thoroughly, completely","彼女はさんざん私の事をののしった。","She called me many terrible things."
"取り替える","とりかえる","と..か","to exchange, to swap","これを青いのと取り替えてください。","Please change this for a blue one."
"雰囲気","ふんいき","ふん.い.き","atmosphere, mood","そのホテルは贅沢な雰囲気がある。","The hotel has an air of luxury."
"鉛筆書き","えんぴつがき","えん.ぴつ.が","drawing or writing in pencil","私は鉛筆書きの手紙を受け取った。","I got a letter written with a pencil."
"重ねる","かさねる","かさ","to pile up, to heap up","机の上には漫画本が重ねてあった。","The comic books were piled on the desk."
"避ける","さける","さ","to avoid (physical contact with), to avoid (situation)","そのスピードを出した車は道路に飛び出した子供を、間一髪で、避けることができた。","The speeding car missed the child, who ran out into the road, by only a hairsbreadth."
"或る種","あるしゅ","あ..しゅ","certain, some kind of","ある種の鳥は飛べない。","Some kinds of birds can't fly."
"見た目","みため","み..め","appearance, look","彼女はみためにかわいい少女だ。","She is a pretty girl to look at."
"聞き出す","ききだす","き..だ","to get (information) out of someone, to extract (information) from someone","警察はその女から何も聞き出せなかった。","The police were unable to get anything out of the woman."
"捩る","ねじる","ねじ","to twist, to screw","その取っ手を右にねじると箱は開きます。","Twist that knob to the right and the box will open."
"巫山戯る","ふざける","ふ.ざ.け","to joke, to jest","もうやめなさい。今日はやけにふざけているんだから。","Stop it. You're being ridiculous."
"感激","かんげき","かん.げき","deep emotion, impression","彼の言葉で彼女は感激のあまり涙ぐんだ。","His words moved her to tears."
"一文","いちもん","いち.もん","tiny amount of money, a penny","凍死しそうな乞食が手当てのため、病院に運び込まれた。だが、その乞食は治療費を清算するような金は一文も、もってなかった。","A freezing beggar was brought into the hospital for treatment. However, he didn't have even one cent with which to settle the bill."
"纏める","まとめる","まと","to collect, to put (it all) together","データはまだまとめていません。","The data hasn't been compiled yet."
"取っ捕まえる","とっつかまえる","と..つか","to catch","",""
"震わせる","ふるわせる","ふる","to (make something) quiver, to shake","彼女は怒りに声を震わせていた。","Her voice was shaking with anger."
"白目を剥く","しろめをむく","しろ.め..む","to open one's eyes wide (as in fear or anger), to faint","彼女が白目をむいています。","Her eyes are rolled back."
"了解","りょうかい","りょう.かい","comprehension, consent","彼はゆっくりうなずいて了解の意を示した。","He nodded slowly in comprehension."
"如き","ごとき","ごと","like, similar to","立て板に水の如きプレゼンテーション、おそれ入りました。","Your presentation was so smooth and fluent - what can I say?"
"貴様","きさま","き.さま","you, you bastard","何だ、貴様は。庇い立てする気か。","What now, you wretch? You thinking of protecting her?"
"言い分","いいぶん","い..ぶん","one's say, one's point","彼には彼女に反論する立派な言い分がある。","He has a good case against her."
"都合","つごう","つ.ごう","circumstances, condition","何時がご都合よいでしょうか。","What time will be right for you?"
"下す","くだす","くだ","to make a decision, to draw a conclusion","問題は誰が決定を下すかということだ。","The question is who will make the decision."
"判決","はんけつ","はん.けつ","judicial decision, judgement","彼に不利な判決がでた。","The judgement went against him."
"時点","じてん","じ.てん","point in time, occasion","神様の名前はやっぱりＮＧだと思うよ〜。もう名づけた時点で名前負けなわけじゃん。","I think a god's name has got to be out. From the moment the kid's named you know he's not going to be able to live up to it!"
"申し立てる","もうしたてる","もう..た","to declare, to plead","君は自分が申し立てていることに自信がありますか。","Are you sure of your facts?"
"恋人","こいびと","こい.びと","lover, sweetheart","私は恋人を「ダーリン」と呼びます。","I call my sweetheart darling."
"横に","よこに","よこ","horizontally, flat","彼は横にばったり倒れた。","He fell flat on the floor."
"食い下がる","くいさがる","く..さ","to hang on to, to hang from","",""
"御苦労様","ごくろうさま","ご.く.ろう.さま","thank you (for your hard work), I appreciate your efforts","ご苦労様でした。","Thank you for your trouble."
"工作","こうさく","こう.さく","handicraft, work","彼は工作に熟練している。","He is skilled in handicraft."
"頬っぺ","ほっぺ","ほ","cheek","彼女は私のほっぺにちゅっとキスをしてくれた。","She gave me a peck on the cheek."
"接吻","せっぷん","せっ.ぷん","kiss, kissing","彼女は、激しく私に接吻をした。","She kissed me like anything."
"念を押す","ねんをおす","ねん..お","to remind (someone of something), to call (someone's) attention (to)","彼は妻に自分を午前７時に起こしてくれるように念を押した。","He reminded his wife to wake him up at 7:00 a.m."
"目を付ける","めをつける","め..つ","to have an eye on, to zero in on","警察は彼に目をつけている。","The cops are keeping tabs on him."
"拝聴","はいちょう","はい.ちょう","listening respectfully","",""
"拝啓","はいけい","はい.けい","Dear (so and so), Dear Sir","",""
"言い切る","いいきる","い..き","to declare, to assert","彼女は、自分は正しいと言い切った。","She declared that she was right."
"気取る","きどる","き.ど","to be affected, to put on airs","彼は彼女の前で気取って見せた。","He put on airs in her presence."
"序でに","ついでに","つい","while (one is at it), when","ついでに私のも買ってきてくれますか。","Can you buy one for me as well?"
"管理","かんり","かん.り","control, management (e.g. of a business)","彼に財産管理を任せた。","I entrusted my property to him."
"婦人","ふじん","ふ.じん","woman, lady","あなたに面会したいという婦人がいます。","There's a lady asking for you."
"きっかり","きっかり","きっかり","exactly, just","ケイトは５時きっかりに来た。","Kate came at five sharp."
"畏まる","かしこまる","かしこ","to obey respectfully, to humble oneself","",""
"参上","さんじょう","さん.じょう","calling on, visiting","",""
"如何にも","いかにも","いか","indeed, really","こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。","I look for all the world like an athlete in this outfit, but the truth is I don't do any sports at all."
"罠に掛かる","わなにかかる","わな..か","to be caught in a trap (snare, etc.), to fall for (a trick, ambush, etc.)","彼はまんまとわなにかかった。","He was fairly caught in the trap."
"崩す","くずす","くず","to destroy, to demolish","１０００円札をくずしていただけませんか。","Could you break a 1,000 yen note?"
"同意","どうい","どう.い","agreement, consent","ボブはその計画に同意しなかった。","Bob did not agree to the plan."
"勝ち目は無い","かちめはない","か..め..な","to have no chance (of succeeding)","彼にとても勝ち目はない。","He won't get a look-in."
"事実","じじつ","じ.じつ","fact, truth","事実は小説よりも奇なり。","Fact is stranger than fiction."
"溶ける","とける","と","to melt, to thaw","砂糖は水に溶ける。","Sugar dissolves in water."
"指示","しじ","し.じ","indication, denotation","私たちはあなたを空港までお連れするようにとの指示を受けています。","I have been instructed to take you to the airport."
"素顔","すがお","す.がお","face with no make-up, unpainted face","",""
"蛸","たこ","たこ","octopus, fool","食べられることなくそのたこは、海に帰ったのであった。","That octopus returned to the sea without being eaten."
"気安い","きやすい","き.やす","relaxed, familiar","",""
"要求","ようきゅう","よう.きゅう","demand, firm request","私は彼に損害賠償を要求した。","I claimed damages against him."
"面白い","おもしろい","おも.しろ","interesting, fascinating","新聞には何も面白いことは載っていない。","There is nothing interesting in the newspaper."
"意見","いけん","い.けん","opinion, view","ここではどんどん意見をおっしゃってかまいません。","You can speak out freely here."
"小娘","こむすめ","こ.むすめ","young girl, lass","「安いですね。じゃあ10ヤードください」小娘が答えた。","'That's cheap. I'll take ten yards,' the girl answered."
"刻々","こっこく","こっ.こく","moment by moment, hour by hour","時間が刻々と迫っている。","Time is pressing every moment."
"言い訳","いいわけ","い..わけ","excuse, explanation","他人の悪事を引き合いに出して自分の悪事の言い訳をすることはできない。","Two wrongs don't make a right."
"提示","ていじ","てい.じ","presentation (of a passport, ID, etc.), showing","下記に対して価格を提示してください。","I'd like a quote for the following."
"思いっ切り","おもいっきり","おも..き","to one's heart's content, as much as one wants","",""
"見落とす","みおとす","み.お","to overlook, to fail to notice","アメリカ人は何を見落としているのだろうか。","What are Americans overlooking?"
"食らう","くらう","く","to eat, to drink","毒を食らわば皿まで。","As well be hanged for a sheep as a lamb."
"中々","なかなか","なか.なか","very, considerably","あいつは、なかなかいい奴だぜ！","He is a good joker."
"空っぽ","からっぽ","から","empty, vacant","町のどの家も空っぽだった。","All the houses in town were empty."
"却下","きゃっか","きゃっ.か","rejection, dismissal","議長はその提案を却下した。","The chairman rejected the proposal."
"目眩まし","めくらまし","め.くら","blinding someone's eyes (to make an escape), smoke screen","",""
"伸す","のす","の","to stretch, to extend","",""
"尻尾を掴む","しっぽをつかむ","しっぽ..つか","to have something on someone, to catch someone out","",""
"取り上げる","とりあげる","と..あ","to pick up, to adopt (a proposal)","彼女はガラスの花瓶を取り上げた。","She picked up one of the glass vases."
"団子","だんご","だん.ご","dango, dumpling (usu. sweet)","瞬くうちにテニスボール大の団子が消え去った。","In the blink of an eye, the tennis-ball-sized dumpling had disappeared."
"お世話","おせわ",".せ.わ","help, aid","子供たちのお世話を手伝ってくれない？","Can you help look after the kids?"
"言い出す","いいだす","い..だ","to begin to say, to start talking","我々が静かに夕食をとっていると、突然、母がもう一度学校に行くつもりだと言い出した。","We were having a quiet supper when out of the blue my mother announced she was going back to school."
"取って付けた様","とってつけたよう","と..つ..よう","unnatural, artificial","",""
"箸","はし","はし","chopsticks","私達はじっと押し黙っておはしを使って食事をした。","We ate with chopsticks in restrained silence."
"殴り付ける","なぐりつける","なぐ..つ","to hit hard, to strike hard","警棒で空をなぐりつけ、よろめいて体勢をたてなおしたガードマンは、自分に向かって突進してくる金網づくりのクズカゴを見た。","The guard's truncheon hit air. Off balance, he regained his posture to see a metal-mesh rubbish bin flying towards him."
"参る","まいる","まい","to go, to come","２、３分したらそちらにまいります。","I'll be with you in a few minutes."
"反省","はんせい","はん.せい","reflection, reconsideration","彼は自分自身の考えを反省した。","He reflected on his own thoughts."
"有り得ない","ありえない","あ..え","impossible, unthinkable","それは決してありえない。","That'll be a cold day in hell."
"無視","むし","む.し","disregarding, ignoring","彼は私の忠告を無視した。","He took no notice of my advice."
"完全","かんぜん","かん.ぜん","perfect, complete","そして書かれていることはすべて完全にはっきりと書かれている。","And then everything that was written was completely clear."
"和服","わふく","わ.ふく","Japanese clothes","確かに彼女は和服を着ると美しく見える。","She certainly looks beautiful in a Japanese kimono."
"目に付く","めにつく","め..つ","to be noticeable, to notice","彼は貧しさを私の眼につかないようにした。","He concealed his poverty from my eyes."
"服装","ふくそう","ふく.そう","attire, dress","あなたは服装の趣味がいい。","You have good taste in clothes."
"低い","ひくい","ひく","low (rank, degree, value, content, quality, etc.), low (position)","この机は私にはちょっと低い。","This desk is a little low for me."
"身長","しんちょう","しん.ちょう","height (of a person), stature","息子はもう私と同じ身長だ。","My son is now as tall as I am."
"以後","いご","い.ご","after this, from now on","以後こんなことはいたしません。","I'll never do this again."
"行為","こうい","こう.い","act, deed","彼は自分の行為を正当化しようとしている。","He is trying to justify his act."
"卑劣","ひれつ","ひ.れつ","mean, contemptible","",""
"切っ掛け","きっかけ","き..か","chance, start","彼等は彼に逃げるきっかけを与えた。","They gave him a chance to escape."
"突っ込む","つっこむ","つ..こ","to thrust (something) into (something), to cram","１人少年が両手をポケットにつっこんで歩いていた。","A boy was walking with his hands in his pockets."
"何気無い","なにげない","なに.げ.な","casual, unconcerned","何気なく言った言葉も誰かを傷つけることがある。","A casual remark can hurt someone."
"弱点","じゃくてん","じゃく.てん","weak point, weakness","数学は彼女の弱点です。","Mathematics is her weak point."
"卑怯","ひきょう","ひ.きょう","cowardly, craven","そんなふうに言うなんて卑怯だ。","It's mean of you to talk that way."
"粗を探す","あらをさがす","あら..さが","to find fault (with)","",""
"弟子","でし","で.し","pupil, disciple","イエスも、また弟子たちも、その婚礼に招かれた。","And Jesus and his disciples had also been invited to the wedding."
"留める","とめる","と","to stop, to turn off","その新聞は政府にインフレを止めるように求めた。","The newspaper called for the government to stop inflation."
"躱す","かわす","かわ","to dodge, to evade","彼は株の大暴落をうまくかわしていました。","He made his timely escape from the stock market crash."
"長い","ながい","なが","long (distance, length), long (time)","彼に長い手紙を書いた。","I wrote a long letter to him."
"当夜","とうや","とう.や","that night, tonight","",""
"出張","しゅっちょう","しゅっ.ちょう","business trip, official trip","ロス出張をキャンセルしようかな。","I should cancel my L.A. trip."
"鷲掴み","わしづかみ","わし.づか","grabbing hold, eagle grip","",""
"無闇に","むやみに","む.やみ","thoughtlessly, recklessly","むやみに自殺を否定しようとは思いませんが、親が子どもを道連れにするのはぜったいにやめてほしい、と思います。","I don't intend to flatly reject suicide, but I really wish parents would not make their children join in with them."
"盛り上がる","もりあがる","も..あ","to swell, to rise","火山活動で地面が盛り上がった。","The surface of the earth rose due to the volcanic activity."
"悲劇","ひげき","ひ.げき","tragedy, tragic drama","すべての悲劇は死で終わる。","All tragedies end with a death."
"極めて","きわめて","きわ","exceedingly, extremely","彼女は行儀が極めて上品である。","She is quite decent in conduct."
"如何","いかが","いかが","how, in what way","コンタクトを入れるというのはいかがでしょう？","How about wearing contact lenses?"
"慎む","つつしむ","つつし","to be careful, to be discreet","時が時だからことばを慎みなさい。","As the situation is delicate, you should be careful of what you say."
"噤む","つぐむ","つぐ","to shut one's mouth, to hold one's tongue","彼は叱られているとき口をつぐんでいた。","He held his tongue while he was being scolded."
"何故","なぜ","なぜ","why, how","あなたはなぜ働いているの。","How come you're still working?"
"等","など","など","et cetera, etc.","２、４、６などは偶数です。","Two, four, six, etc. are even numbers."
"手段を選ばない","しゅだんをえらばない","しゅ.だん..えら","to do whatever it takes, to use every trick in the book","",""
"今朝","けさ","けさ","this morning","今朝はとても寒かった。","It was very cold this morning."
"略","りゃく","りゃく","abbreviation, omission","ＡＩは人工知能の略です。","AI stands for artificial intelligence."
"再調査","さいちょうさ","さい.ちょう.さ","reexamination, reinvestigation","彼は事件を最初から再調査しようと思った。","He intended to reexamine the case from the beginning."
"命令","めいれい","めい.れい","order, command","ケンは自分の犬に、そこで待つように命令した。","Ken told his dog to wait there."
"古い","ふるい","ふる","old, aged","ケンが使っている机はもう古い。","The desk that Ken uses is old."
"手に入れる","てにいれる","て..い","to obtain, to get","どうやってそのお金を手に入れたんですか。","How did you come by the money?"
"一撃","いちげき","いち.げき","blow, hit","私は彼の耳に一撃を与えた。","I dealt him a blow on the ear."
"資料","しりょう","し.りょう","material, materials","新しい資料をお送りください。","Please send us more information."
"当たり前","あたりまえ","あ..まえ","natural, reasonable","我々は彼が成功したのは当たり前だと思った。","We took his success for granted."
"言い方","いいかた","い..かた","way of saying (something), way of putting it","私はそのような言い方をしたことが恥ずかしく思っている。","I was ashamed of having said so."
"如何わしい","いかがわしい","いかが","suspicious, dubious","あの宗教団体はかなりいかがわしい教義にとりつかれている。","That religious cult has got some pretty off the wall ideas."
"本気","ほんき","ほん.き","seriousness, earnestness","ケンさん、君は本気かい。","Are you on the level, Ken?"
"響く","ひびく","ひび","to resound, to be heard far away","",""
"不利","ふり","ふ.り","disadvantage, handicap","この証拠は彼にとって不利だった。","This evidence was against him."
"現実","げんじつ","げん.じつ","reality, actuality","いい加減に現実をみつめろ。","Open your eyes to reality."
"査定","さてい","さ.てい","assessment (of value, damages, etc.), revision (of a budget)","クレジットカード会社は信用査定結果をあまり重視していません。","Credit card companies are not looking so hard at credit ratings."
"給与","きゅうよ","きゅう.よ","pay, salary","私は給与の５分の１を税金で取られてしまう。","One-fifth of my wages go to taxes."
"来月","らいげつ","らい.げつ","next month","来月フランスの大統領が来日する予定だ。","The French president is to visit Japan next month."
"拒否","きょひ","きょ.ひ","refusal, rejection","私はその質問に答えることを拒否する。","I refuse to answer the question."
"成分","せいぶん","せい.ぶん","ingredient, component","グリーンピースは鉄分が豊富で爪の色がよくなる成分が含まれている。","Green peas are high in iron and contain nutrients that improve the colour of fingernails."
"不味い","まずい","まず","bad(-tasting), unpalatable","すき腹にまずいものなし。","Hunger is the best sauce."
"満々","まんまん","まん.まん","full of, brimming with","彼は権力獲得に野心満々だ。","He is full of ambition for power."
"守る","まもる","まも","to protect, to guard","あなたは、自分の家族を守らなければならない。","You have to protect your family."
"給え","たまえ","たま","please ...","影でこそこそせず面と向かって彼にそれを言いたまえ。","Say it to his face, not behind his back."
"嵌める","はめる","は","to fit (e.g. a pane into a frame), to insert (e.g. a cork)","彼の肖像画は装飾の施された額縁にはめられた。","His portrait was mounted in the fancy frame."
"気を付ける","きをつける","き..つ","to be careful, to pay attention","静かにするように気をつけなさい。","See to it that you keep quiet."
"化学分析","かがくぶんせき","か.がく.ぶん.せき","chemical analysis","",""
"確保","かくほ","かく.ほ","securing, obtaining","お庭の方にも縁台を並べれば、かなり座席数を確保できそうだなーと思いました。","I thought that if we lined up benches in the garden as well, we could achieve quite a seating capacity."
"容疑者","ようぎしゃ","よう.ぎ.しゃ","suspect","警察が容疑者を捕まえた。","The policeman got the suspect."
"怪しげ","あやしげ","あや","questionable, doubtful","怪しげな手つきで彼女はグラスを運んできた。","She fumbled with the glasses as she brought them in."
"滑る","すべる","すべ","to slide, to glide","子供たちは氷の上を滑っていた。","The children were sliding on the ice."
"動揺","どうよう","どう.よう","shaking, trembling","このニュースを聞いて非常に動揺した。","I was profoundly disturbed by this news."
"被告席","ひこくせき","ひ.こく.せき","defendant's seat, the dock","",""
"迷う","まよう","まよ","to lose one's way, to get lost","彼は森の中で迷った。","He lost his way in the woods."
"相変わらず","あいかわらず","あい.か","as usual, as always","君は相変わらず健康そうに見える。","You look as healthy as ever."
"失血","しっけつ","しっ.けつ","loss of blood","",""
"位置","いち","い.ち","place, position","彼の事務所は町の中心部に位置している。","His office is located in the center of the town."
"上面図","じょうめんず","じょう.めん.ず","top view (esp. diagrams)","",""
"所轄署","しょかつしょ","しょ.かつ.しょ","taxation office serving a specific area, competent tax office","",""
"職業","しょくぎょう","しょく.ぎょう","occupation, profession","彼の職業は弁護士です。","He is a lawyer by profession."
"指揮","しき","し.き","command, direction","彼女は計画の立案を指揮した。","She directed the planning of the project."
"捜査","そうさ","そう.さ","search (esp. in criminal investigations), investigation","警察は事件の捜査をした。","The police looked into that incident."
"余地","よち","よ.ち","place, room","それで疑いをさしはさむ余地はなくなる。","That leaves no room for doubt."
"疑う","うたがう","うたが","to doubt, to distrust","僕の言葉をまだ疑っているんですか。","Are you still in doubt about what I have said?"
"用意","ようい","よう.い","preparation, arrangements","その部屋はあなたが使えるよう用意ができています。","The room is now ready for you."
"犯行","はんこう","はん.こう","crime, criminal act","彼は犯行に及んだと信じられていた。","He was believed to have committed the crime."
"弁論","べんろん","べん.ろん","discussion, debate","その学生は、自分の弁論に対して審査員が批判的に述べたことをひどく気にした。","The student took to heart the judge's critical comments on his speech."
"冒頭","ぼうとう","ぼう.とう","beginning, opening","残っているのは冒頭の部分だけであった。","All that was left was the opening."
"盗聴器","とうちょうき","とう.ちょう.き","listening device, bug","ニクソンはオフィスに盗聴器をしかけておきながらシラを切ったので見付かった。","Nixon was caught lying because he bugged his own office."
"偶然","ぐうぜん","ぐう.ぜん","coincidence, chance","私は、偶然旧友に会った。","I met an old friend by chance."
"伝える","つたえる","つた","to convey, to report","奥様によろしくお伝えください。","Please say hello to your wife."
"絶好","ぜっこう","ぜっ.こう","best, ideal","絶好の機会を逃した。","I missed a golden opportunity."
"お届け","おとどけ",".とど","delivery (of a package, goods, etc.)","商品のお届けは玄関先までとなっております。","The goods will be delivered to the front door."
"申し遅れる","もうしおくれる","もう..おく","to be slow in saying","",""
"態度","たいど","たい.ど","attitude, manner","私は彼の態度が癪に障った。","I was annoyed at his behavior."
"見違える","みちがえる","み.ちが","to mistake (for something or someone else), to be unable to recognize","あまりにお変わりになっていて見違えるほどです。","You have changed so much that I can hardly recognize you."
"国選弁護人","こくせんべんごにん","こく.せん.べん.ご.にん","court-appointed attorney","",""
"唯一","ゆいいつ","ゆい.いつ","only, sole","初めの一歩が唯一の難関。","The first step is the hardest."
"孤独","こどく","こ.どく","solitude, loneliness","私はこの上なくさびしく、孤独だ。","I am as sad and lonely as can be."
"見方","みかた","み.かた","viewpoint, point of view","私の見方ではもう少し待つほうがよさそうだ。","From my point of view, it would be better to wait a little longer."
"放る","ほうる","ほう","to throw, to fling","いい球を放るようになったな、恵一君。","You throw a good ball nowadays, Keiichi."
"成る程","なるほど","な..ほど","I see, that's right","なるほど彼は若いが、用心深い。","Indeed he is young, but he is prudent."
"日本中","にほんじゅう","に.ほん.じゅう","throughout Japan","そのニュースは日本中に広まった。","The news spread all over Japan."
"笑い者","わらいもの","わら..もの","laughingstock, butt of ridicule","このままだと日本は世界の笑い者になる。","At this rate, Japan will make an exhibition of itself before the world."
"大々的","だいだいてき","だい.だい.てき","great, grand","彼は大々的にパーティーを催した。","He gave a party on a large scale."
"極秘","ごくひ","ごく.ひ","absolute secrecy","彼女は極秘で私にその話をした。","She told me the story in confidence."
"勧める","すすめる","すす","to recommend (someone to do), to advise","私は貴方が汽車で行くことを勧めます。","I recommend you to go by train."
"話題","わだい","わ.だい","topic, subject","その話題は話し合う価値がある。","The topic is worth discussing."
"数年","すうねん","すう.ねん","several years, a few years","私は数年前にゴルフを始めた。","I began playing golf years ago."
"姿を消す","すがたをけす","すがた..け","to disappear, to vanish","いろいろな動物が地球上から姿を消した。","Many kinds of animals have vanished from the earth."
"破滅","はめつ","は.めつ","ruin, destruction","遅かれ早かれ彼は破滅する。","He will eventually ruin himself."
"宿す","やどす","やど","to house, to contain","",""
"代々","だいだい","だい.だい","for generations, from generation to generation","この伝統は代々受け継がれている。","This tradition has been passed down from generation to generation."
"見捨てる","みすてる","み.す","to abandon, to fail","彼は友人から見捨てられてしまった。","He was deserted by his friends."
"痩せ細る","やせほそる","や..ほそ","to lose weight, to become thin","骨と皮ばかりにやせ細る。","Be reduced to skin and bones."
"本棚","ほんだな","ほん.だな","bookshelves, bookshelf","この本棚は組み立てが簡単です。","This bookcase is easy to assemble."
"磨き込む","みがきこむ","みが..こ","to polish, to rub up","",""
"艶","つや","つや","gloss, luster","飼い猫の毛のつやが悪くなった。","Our cat's fur has lost its luster."
"純金","じゅんきん","じゅん.きん","pure gold, solid gold","その小さな像は純金でできていると言われている。","The small statue is said to be made of fine gold."
"黒檀","こくたん","こく.たん","ebony","",""
"来客用","らいきゃくよう","らい.きゃく.よう","for visitors, for guests","",""
"嘸かし","さぞかし","さぞ","certainly, surely","こんなにすばらしい本を書くとは、著者はさぞかしりっぱな学者だろう。","What a good scholar the author must be to write such a splendid book!"
"値段","ねだん","ね.だん","price, cost","このラジオの値段はいくらですか。","What is the price of this radio?"
"油絵","あぶらえ","あぶら.え","oil painting","彼女は油絵を始めた。","She has taken to painting in oils."
"暑苦しい","あつくるしい","あつ.くる","sultry, sweltering","昨夜は暑くるしかった。","It was sultry last night."
"手放す","てばなす","て.ばな","to let go of, to release","その指輪を手放すな。","You must not part with the ring."
"麦藁帽子","むぎわらぼうし","むぎ.わら.ぼう.し","straw hat","私はこの古い麦藁帽子にとても愛着がある。","I am very much attached to this old straw hat."
"揺らぐ","ゆらぐ","ゆ","to swing, to sway","",""
"真っ直ぐ","まっすぐ","ま..す","straight (ahead), direct","あなたはきのう放課後まっすぐ帰宅しましたか。","Did you go straight home after school yesterday?"
"見据える","みすえる","み.す","to stare fixedly at, to fix one's gaze on","我々は将来を見据えつつ、今そこにある危機を乗り越えていかねばならない。","We have to look the future straight in the eye and prepare to get through the coming crisis."
"出て行く","でていく","で..い","to go out and away, to leave","彼は私に出てけと合図した。","He made a sign to me to go out."
"突然","とつぜん","とつ.ぜん","abrupt, sudden","すべて突然起こった。","Everything happened all at once."
"或る日","あるひ","あ..ひ","one day, (on) a certain day","ある日、彼は弱いカメを助けた。","One day he helped a weak turtle."
"身に付ける","みにつける","み..つ","to learn, to acquire knowledge","「日本の経営陣は米国の労働者の扱い方を身につけなければいけない」と彼は言った。","Japanese management must learn how to deal with American workers, he said."
"誠","まこと","まこと","truth, reality","嘘から出た誠。","Many a true word is spoken in jest."
"当たる","あたる","あ","to be hit, to strike","私は顔に冷たい風が当たるのを感じた。","I felt a cold wind on my face."
"件","けん","けん","matter, affair","私はこの件に関しては、あなたに賛成です。","I agree with you on this issue."
"取れる","とれる","と","to come off (of a button, handle, lid, etc.), to go away (of a fever, pain, swelling, etc.)","鋳物が金型からすっぽりとれた。","The casting came cleanly out of its mold."
"暇","ひま","ひま","spare time, free time","仕事は楽で、暇がたくさんあります。","My job is easy and I have a lot of free time."
"咳払い","せきばらい","せき.ばら","clearing one's throat, cough","講演者は咳払いをした。","The speaker cleared his throat."
"特有","とくゆう","とく.ゆう","characteristic (of), peculiar (to)","この習慣は日本に特有のものである。","This custom is peculiar to Japan."
"仕方ない","しかたない","し.かた","there's no (other) way, cannot be helped","パーティーが待ち遠しくて仕方ない。","I just can't wait for the party."
"お出掛け","おでかけ",".で.か","about to start out, just about to leave or go out","いつお出かけになりますか。","When will you go out?"
"大先生","だいせんせい","だい.せん.せい","great teacher, great master","",""
"検察","けんさつ","けん.さつ","criminal investigation, prosecution","検察側は被告が子供を誘拐したと激しく非難した。","The prosecution condemned the defendant for kidnapping a child."
"詮索","せんさく","せん.さく","inquiry into, enquiry into","私生活を詮索しないでよ。","Don't pry into my private life."
"塵","ごみ","ごみ","rubbish, trash","彼女は玄関のごみをはいた。","She swept the dirt from the porch."
"漁る","あさる","あさ","to fish, to look for","古本屋と古着屋をあさるのが好きです。","I like shopping in used-book stores and in used-clothing shops."
"名探偵","めいたんてい","めい.たん.てい","great detective","ホームズさんはパイプの大の愛用者で、名探偵です。","Holmes is a great pipe man as well as a great detective."
"赤面","せきめん","せき.めん","blushing, getting red in the face","その時自分がなんとばかであったかを考えると赤面する。","I blush to think of what a fool I was then."
"嘗て","かつて","かつ","once, before","一般に日本人は、自分たちがかつてより暮らし向きがよくなったと考えている。","The Japanese at large consider themselves better off than they used to be."
"照れる","てれる","て","to be shy, to be bashful","彼女はうふふと照れながらコンドームを差し出した。","Giggling with embarrassment, she held out the condom."
"口説く","くどく","く.ど","to persuade, to urge","それ、私を口説いてるの？","Are you making a pass at me?"
"堅苦しい","かたくるしい","かた.くる","formal, stiff","堅苦しいことはぬきにしましょう。","Let's dispense with formalities."
"絵","え","え","picture, drawing","あの絵を壁に掛けなさい。","Hang that picture on the wall."
"静物画","せいぶつが","せい.ぶつ.が","still life (painting, drawing)","",""
"生物","せいぶつ","せい.ぶつ","living thing, organism","地球以外の天体に生物はいますか。","Is there life on other worlds?"
"向日葵","ひまわり","ひまわり","sunflower (Helianthus annuus)","",""
"造花","ぞうか","ぞう.か","artificial flower, imitation flower","私は造花が好きではない。","I don't like artificial flowers."
"顔付き","かおつき","かお.つ","(outward) looks, features","彼は怒った顔つきで外へでてきた。","He came out with an angry face."
"一瞬","いっしゅん","いっ.しゅん","instant, moment","それは私にとってはらはらする一瞬だった。","It was a nervous moment for me."
"弄る","いじる","いじ","to finger, to touch","その鍵をいじるな！","Don't play with that key!"
"挟む","はさむ","はさ","to hold between (e.g. one's fingers, chopsticks), to grip (from both sides)","彼は耳に鉛筆を挟んだ。","He stuck his pencil behind his ear."
"引き出し","ひきだし","ひ..だ","drawer, withdrawal (of money from an account)","きれいなタオルは引き出しにありますよ。","The clean towels are in the drawer."
"目を引く","めをひく","め..ひ","to attract notice, to catch the eye","明るい色が私たちの目を引いた。","The bright colors arrested our eyes."
"整える","ととのえる","ととの","to put in order, to arrange","私の姉は毎週、髪を整えてもらう。","My sister has her hair done each week."
"見分ける","みわける","み.わ","to distinguish, to recognize","彼と彼の兄を見分けるのは簡単だ。","It is easy to tell him from his brother."
